"","estimate","SE","CI_025","CI_975","sig95"
"speciesabiesAmabilis",1.75,0.225,1.33,2.19,"*"
"speciesabiesConcolor",5.04,0.0804,4.88,5.2,"*"
"speciesabiesGrandis",-3.23,10.9,-24.3,18.5," "
"speciesabiesLasiocar",-0.832,2.5,-5.83,3.65," "
"speciesabiesMagnific",5.14,0.144,4.86,5.44,"*"
"speciesabiesProcera",7.75,12.2,-18.4,28.4," "
"speciesabiesAmabilis:diam",0.118,0.00483,0.108,0.127,"*"
"speciesabiesConcolor:diam",-4.97e-05,0.000488,-0.000908,0.00101," "
"speciesabiesGrandis:diam",0.0692,0.077,-0.0464,0.237," "
"speciesabiesLasiocar:diam",0.0585,0.104,-0.103,0.309," "
"speciesabiesMagnific:diam",0.000241,0.00103,-0.00133,0.00269," "
"speciesabiesProcera:diam",0.133,0.113,-0.0281,0.379," "
"speciesabiesAmabilis:I(diam^2)",-0.00108,4.22e-05,-0.00116,-0.000992,"*"
"speciesabiesConcolor:I(diam^2)",7.73e-06,6.83e-06,-5.28e-06,2.16e-05," "
"speciesabiesGrandis:I(diam^2)",-0.000309,0.000834,-0.00208,0.00117," "
"speciesabiesLasiocar:I(diam^2)",0.000725,0.00125,-0.00214,0.00289," "
"speciesabiesMagnific:I(diam^2)",9.04e-06,1.11e-05,-1.36e-05,2.91e-05," "
"speciesabiesProcera:I(diam^2)",-0.00049,0.000713,-0.00197,0.000658," "
"speciesabiesAmabilis:shade",-0.411,0.0233,-0.453,-0.363,"*"
"speciesabiesConcolor:shade",-0.179,0.0245,-0.227,-0.131,"*"
"speciesabiesGrandis:shade",1.24,2.36,-3.72,5.76," "
"speciesabiesLasiocar:shade",0.0314,0.266,-0.483,0.551," "
"speciesabiesMagnific:shade",-0.0425,0.0366,-0.115,0.0278," "
"speciesabiesProcera:shade",-2.57,4.15,-9.91,5.89," "
"speciesabiesAmabilis:precip_budInit",0,0,0,0," "
"speciesabiesConcolor:precip_budInit",0.541,0.0651,0.423,0.675,"*"
"speciesabiesGrandis:precip_budInit",2.8,2.33,-2.49,6.98," "
"speciesabiesLasiocar:precip_budInit",0.0644,0.758,-1.43,1.55," "
"speciesabiesMagnific:precip_budInit",0.503,0.0917,0.321,0.67,"*"
"speciesabiesProcera:precip_budInit",0.853,2.33,-3.18,5.71," "
"speciesabiesAmabilis:I(precip_budInit^2)",-4.19,0.184,-4.58,-3.84,"*"
"speciesabiesConcolor:I(precip_budInit^2)",-0.0992,0.0142,-0.127,-0.0717,"*"
"speciesabiesGrandis:I(precip_budInit^2)",1.51,2.49,-3.96,6.05," "
"speciesabiesLasiocar:I(precip_budInit^2)",-0.0628,0.23,-0.5,0.394," "
"speciesabiesMagnific:I(precip_budInit^2)",-0.123,0.0222,-0.165,-0.0787,"*"
"speciesabiesProcera:I(precip_budInit^2)",-3.38,3.98,-9.87,5.1," "
"speciesabiesAmabilis:temp_budInit",0.507,0.045,0.422,0.6,"*"
"speciesabiesConcolor:temp_budInit",0.22,0.0334,0.154,0.286,"*"
"speciesabiesGrandis:temp_budInit",0.598,1.59,-2.28,3.84," "
"speciesabiesLasiocar:temp_budInit",0.252,1.43,-2.47,3.22," "
"speciesabiesMagnific:temp_budInit",0.438,0.0606,0.319,0.556,"*"
"speciesabiesProcera:temp_budInit",3.84,2.69,-1.21,9.09," "
"speciesabiesAmabilis:I(temp_budInit^2)",0.967,0.0508,0.866,1.06,"*"
"speciesabiesConcolor:I(temp_budInit^2)",-0.0439,0.00779,-0.0595,-0.0288,"*"
"speciesabiesGrandis:I(temp_budInit^2)",0.847,2.7,-4,6.62," "
"speciesabiesLasiocar:I(temp_budInit^2)",0.24,1.07,-1.69,2.59," "
"speciesabiesMagnific:I(temp_budInit^2)",0.00505,0.0137,-0.0227,0.0324," "
"speciesabiesProcera:I(temp_budInit^2)",0,0,0,0," "
"speciesabiesAmabilis:tmean_Poll",0.333,0.257,-0.158,0.842," "
"speciesabiesConcolor:tmean_Poll",0.714,0.0598,0.584,0.827,"*"
"speciesabiesGrandis:tmean_Poll",0.825,6.05,-9.88,9.95," "
"speciesabiesLasiocar:tmean_Poll",-0.0145,3.74,-7.38,7.21," "
"speciesabiesMagnific:tmean_Poll",0.388,0.077,0.254,0.538,"*"
"speciesabiesProcera:tmean_Poll",0,0,0,0," "
"speciesabiesAmabilis:I(tmean_Poll^2)",-2.78,0.192,-3.16,-2.41,"*"
"speciesabiesConcolor:I(tmean_Poll^2)",0.00424,0.0134,-0.0229,0.0293," "
"speciesabiesGrandis:I(tmean_Poll^2)",0,0,0,0," "
"speciesabiesLasiocar:I(tmean_Poll^2)",-0.391,3.29,-7.01,6.25," "
"speciesabiesMagnific:I(tmean_Poll^2)",0.137,0.0191,0.0997,0.178,"*"
"speciesabiesProcera:I(tmean_Poll^2)",0,0,0,0," "
"speciesabiesAmabilis:tmean_Fert",-1.91,0.369,-2.58,-1.19,"*"
"speciesabiesConcolor:tmean_Fert",-0.0584,0.0641,-0.175,0.082," "
"speciesabiesGrandis:tmean_Fert",0,0,0,0," "
"speciesabiesLasiocar:tmean_Fert",-0.661,3.3,-6.67,5.61," "
"speciesabiesMagnific:tmean_Fert",-0.407,0.0847,-0.558,-0.243,"*"
"speciesabiesProcera:tmean_Fert",0,0,0,0," "
"speciesabiesAmabilis:I(tmean_Fert^2)",1.97,0.158,1.66,2.28,"*"
"speciesabiesConcolor:I(tmean_Fert^2)",-0.0597,0.0164,-0.092,-0.0273,"*"
"speciesabiesGrandis:I(tmean_Fert^2)",0,0,0,0," "
"speciesabiesLasiocar:I(tmean_Fert^2)",0,0,0,0," "
"speciesabiesMagnific:I(tmean_Fert^2)",-0.0694,0.0185,-0.105,-0.0331,"*"
"speciesabiesProcera:I(tmean_Fert^2)",0,0,0,0," "
"speciesabiesAmabilis:precip_PollFert",1.54,0.0522,1.43,1.63,"*"
"speciesabiesConcolor:precip_PollFert",-0.33,0.059,-0.451,-0.223,"*"
"speciesabiesGrandis:precip_PollFert",0,0,0,0," "
"speciesabiesLasiocar:precip_PollFert",0,0,0,0," "
"speciesabiesMagnific:precip_PollFert",-0.733,0.097,-0.91,-0.534,"*"
"speciesabiesProcera:precip_PollFert",0,0,0,0," "
"speciesabiesAmabilis:I(precip_PollFert^2)",4.31,0.184,3.96,4.71,"*"
"speciesabiesConcolor:I(precip_PollFert^2)",0.111,0.0131,0.0861,0.137,"*"
"speciesabiesGrandis:I(precip_PollFert^2)",0,0,0,0," "
"speciesabiesLasiocar:I(precip_PollFert^2)",0,0,0,0," "
"speciesabiesMagnific:I(precip_PollFert^2)",0.0841,0.0225,0.0405,0.128,"*"
"speciesabiesProcera:I(precip_PollFert^2)",0,0,0,0," "
"speciesabiesAmabilis:diam:precip_budInit",0.274,0.00316,0.266,0.279,"*"
"speciesabiesConcolor:diam:precip_budInit",-0.00202,0.000907,-0.00386,-0.000271,"*"
"speciesabiesGrandis:diam:precip_budInit",0,0,0,0," "
