"","estimate","SE","CI_025","CI_975","sig95"
"speciespinusContorta",1.48,0.818,-0.0164,3.18," "
"speciespinusJeffreyi",2.19,0.539,1.03,3.15,"*"
"speciespinusLamberti",1.5,0.452,0.636,2.4,"*"
"speciespinusMonticol",-1.09,0.704,-2.47,0.231," "
"speciespinusPonderos",3.2,0.264,2.67,3.72,"*"
"speciespinusContorta:diam",0.172,0.0333,0.11,0.238,"*"
"speciespinusJeffreyi:diam",0.00334,0.00954,-0.00876,0.0293," "
"speciespinusLamberti:diam",0.041,0.00659,0.0278,0.0532,"*"
"speciespinusMonticol:diam",0.044,0.00859,0.0276,0.0599,"*"
"speciespinusPonderos:diam",-0.00269,0.00397,-0.00873,0.006," "
"speciespinusContorta:I(diam^2)",-0.00229,0.000393,-0.00304,-0.00152,"*"
"speciespinusJeffreyi:I(diam^2)",0.000113,6.68e-05,-5.41e-05,0.000216," "
"speciespinusLamberti:I(diam^2)",-0.000144,3.35e-05,-0.00021,-7.9e-05,"*"
"speciespinusMonticol:I(diam^2)",-0.000128,4.42e-05,-0.000218,-4.53e-05,"*"
"speciespinusPonderos:I(diam^2)",0.000164,3.02e-05,9.92e-05,0.000217,"*"
"speciespinusContorta:shade",-0.399,0.122,-0.64,-0.153,"*"
"speciespinusJeffreyi:shade",-0.00879,0.118,-0.24,0.225," "
"speciespinusLamberti:shade",-0.0113,0.0898,-0.181,0.164," "
"speciespinusMonticol:shade",0.887,0.179,0.55,1.24,"*"
"speciespinusPonderos:shade",0.0372,0.061,-0.0854,0.159," "
"speciespinusContorta:precip_budInit",-0.255,0.285,-0.825,0.284," "
"speciespinusJeffreyi:precip_budInit",0.387,0.303,-0.237,0.954," "
"speciespinusLamberti:precip_budInit",-0.132,0.183,-0.503,0.203," "
"speciespinusMonticol:precip_budInit",0.0774,0.235,-0.398,0.521," "
"speciespinusPonderos:precip_budInit",0.112,0.161,-0.203,0.423," "
"speciespinusContorta:I(precip_budInit^2)",-0.0179,0.0887,-0.189,0.157," "
"speciespinusJeffreyi:I(precip_budInit^2)",0.0126,0.062,-0.105,0.134," "
"speciespinusLamberti:I(precip_budInit^2)",-0.0799,0.0387,-0.158,-0.0015,"*"
"speciespinusMonticol:I(precip_budInit^2)",0.0163,0.0694,-0.121,0.153," "
"speciespinusPonderos:I(precip_budInit^2)",-0.00241,0.0434,-0.0887,0.0825," "
"speciespinusContorta:temp_budInit",0.26,0.428,-0.586,1.09," "
"speciespinusJeffreyi:temp_budInit",-0.232,0.254,-0.728,0.254," "
"speciespinusLamberti:temp_budInit",-0.351,0.156,-0.66,-0.0549,"*"
"speciespinusMonticol:temp_budInit",0.809,0.282,0.232,1.36,"*"
"speciespinusPonderos:temp_budInit",-1.06,0.177,-1.4,-0.721,"*"
"speciespinusContorta:I(temp_budInit^2)",-0.0578,0.0674,-0.191,0.0773," "
"speciespinusJeffreyi:I(temp_budInit^2)",0.0502,0.0291,-0.00786,0.108," "
