"","estimate","SE","CI_025","CI_975","sig95"
"speciesquercusAgrifoli",1.74,2.11,-1.91,5.69," "
"speciesquercusChrysole",0.936,1.36,-1.66,3.61," "
"speciesquercusKelloggi",1.96,0.42,1.11,2.74,"*"
"speciesquercusAgrifoli:diam",0,0,0,0," "
"speciesquercusChrysole:diam",0.0963,0.0424,0.00834,0.18,"*"
"speciesquercusKelloggi:diam",0.0693,0.016,0.0394,0.0986,"*"
"speciesquercusAgrifoli:I(diam^2)",0.000334,3.03e-05,0.000271,0.000389,"*"
"speciesquercusChrysole:I(diam^2)",-0.000372,9.97e-05,-0.000584,-0.000193,"*"
"speciesquercusKelloggi:I(diam^2)",-0.00093,0.000145,-0.0012,-0.000651,"*"
"speciesquercusAgrifoli:shade",0.389,0.41,-0.369,1.11," "
"speciesquercusChrysole:shade",-0.288,0.181,-0.633,0.0736," "
"speciesquercusKelloggi:shade",-0.276,0.0586,-0.393,-0.163,"*"
"speciesquercusAgrifoli:ppt_budInit",0,0,0,0," "
"speciesquercusChrysole:ppt_budInit",0.00165,0.000646,0.000339,0.00286,"*"
"speciesquercusKelloggi:ppt_budInit",0.0011,0.00017,0.000774,0.00145,"*"
"speciesquercusAgrifoli:temp_budInit",0,0,0,0," "
"speciesquercusChrysole:temp_budInit",0.0481,0.467,-0.872,0.965," "
"speciesquercusKelloggi:temp_budInit",0.0175,0.111,-0.204,0.225," "
"speciesquercusAgrifoli:I(temp_budInit^2)",0,0,0,0," "
"speciesquercusChrysole:I(temp_budInit^2)",-0.308,0.135,-0.566,-0.0492,"*"
"speciesquercusKelloggi:I(temp_budInit^2)",0.0221,0.0206,-0.018,0.0623," "
"speciesquercusAgrifoli:tmean_Poll",0,0,0,0," "
"speciesquercusChrysole:tmean_Poll",-1.14,0.365,-1.9,-0.466,"*"
"speciesquercusKelloggi:tmean_Poll",0.102,0.116,-0.109,0.338," "
"speciesquercusAgrifoli:I(tmean_Poll^2)",0,0,0,0," "
"speciesquercusChrysole:I(tmean_Poll^2)",0.195,0.109,-0.0049,0.4," "
"speciesquercusKelloggi:I(tmean_Poll^2)",-0.00469,0.014,-0.0322,0.0237," "
"speciesquercusAgrifoli:temp_Fert",0,0,0,0," "
"speciesquercusChrysole:temp_Fert",0.161,0.512,-0.826,1.13," "
"speciesquercusKelloggi:temp_Fert",-0.334,0.078,-0.483,-0.187,"*"
"speciesquercusAgrifoli:I(temp_Fert^2)",0,0,0,0," "
"speciesquercusChrysole:I(temp_Fert^2)",0.0807,0.0607,-0.0377,0.202," "
"speciesquercusKelloggi:I(temp_Fert^2)",0.107,0.00988,0.0882,0.127,"*"
"speciesquercusAgrifoli:ppt_Poll",0,0,0,0," "
"speciesquercusChrysole:ppt_Poll",-0.00155,0.00053,-0.00256,-0.000496,"*"
"speciesquercusKelloggi:ppt_Poll",0.000814,0.000189,0.000446,0.00117,"*"
"speciesquercusAgrifoli:ppt_Fert",0,0,0,0," "
"speciesquercusChrysole:ppt_Fert",-0.000702,0.000543,-0.00179,0.00032," "
"speciesquercusKelloggi:ppt_Fert",-0.000404,0.000176,-0.000761,-6.77e-05,"*"
"speciesquercusAgrifoli:diam:ppt_budInit",0,0,0,0," "
"speciesquercusChrysole:diam:ppt_budInit",-4.65e-05,3.62e-05,-0.000118,2.92e-05," "
"speciesquercusKelloggi:diam:ppt_budInit",4.46e-06,4.77e-06,-5.3e-06,1.36e-05," "
"speciesquercusAgrifoli:diam:temp_budInit",0,0,0,0," "
"speciesquercusChrysole:diam:temp_budInit",-0.0773,0.0352,-0.149,-0.00291,"*"
"speciesquercusKelloggi:diam:temp_budInit",-0.00839,0.0031,-0.0143,-0.0024,"*"
"speciesquercusAgrifoli:diam:tmean_Poll",0,0,0,0," "
"speciesquercusChrysole:diam:tmean_Poll",0.0742,0.0229,0.0262,0.122,"*"
"speciesquercusKelloggi:diam:tmean_Poll",-0.00283,0.00269,-0.0081,0.00199," "
"speciesquercusAgrifoli:diam:temp_Fert",0,0,0,0," "
"speciesquercusChrysole:diam:temp_Fert",-0.0212,0.0129,-0.046,0.00684," "
"speciesquercusKelloggi:diam:temp_Fert",0.000725,0.0019,-0.00303,0.00458," "
"speciesquercusAgrifoli:diam:ppt_Poll",0,0,0,0," "
"speciesquercusChrysole:diam:ppt_Poll",2.73e-05,1.78e-05,-7.37e-06,6.28e-05," "
"speciesquercusKelloggi:diam:ppt_Poll",-2.42e-05,5.19e-06,-3.44e-05,-1.44e-05,"*"
"speciesquercusAgrifoli:diam:ppt_Fert",0,0,0,0," "
"speciesquercusChrysole:diam:ppt_Fert",-7.41e-05,2.89e-05,-0.00013,-1.15e-05,"*"
"speciesquercusKelloggi:diam:ppt_Fert",-6.22e-06,4.97e-06,-1.59e-05,3.53e-06," "
